File,ML algorithm,accuracy,Precision,Recall,F1-score,Time
data-prep/all_data,Naive Bayes,0.8479569865883363,0.7690996983085437,0.703803634677235,0.7275894626127053,0.5155417919158936
data-prep/all_data,Naive Bayes,0.8497233060554731,0.7728889631181884,0.7054609253193779,0.7299032724764243,0.49727511405944824
data-prep/all_data,Naive Bayes,0.8569722811486022,0.7930632745874868,0.7095663487279417,0.738291397868308,0.493405818939209
data-prep/all_data,Naive Bayes,0.8580462033846213,0.7955533282684193,0.7118499416824196,0.7407481775241249,0.4833378791809082
data-prep/all_data,Naive Bayes,0.850950898085133,0.777433536705033,0.7067795694926147,0.7320971971936022,0.48418712615966797
data-prep/all_data,Naive Bayes,0.8487571293069492,0.7712863489005293,0.7048272494351158,0.7289626109035762,0.49166011810302734
data-prep/all_data,Naive Bayes,0.8487482977096136,0.773198256340209,0.7051306896889773,0.7296595944972648,0.48770570755004883
data-prep/all_data,Naive Bayes,0.8502337723814756,0.7754824427368385,0.7066242544154024,0.7314619004481691,0.48763298988342285
data-prep/all_data,Naive Bayes,0.8495343098724893,0.7756112785361884,0.706194614404176,0.7311129279052194,0.4968531131744385
data-prep/all_data,Naive Bayes,0.8495095813999495,0.774476730305538,0.7052117077970075,0.7300792406192208,0.4903879165649414
